Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp,date_not_time
2024-10-17 23:33:28+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070900,2024-10-17 23:33:28+00:00,2024-10-17
2024-10-18 07:02:08+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071400,2024-10-18 07:02:08+00:00,2024-10-18
2024-10-18 13:32:44+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071200,2024-10-18 13:32:44+00:00,2024-10-18
2024-10-18 21:47:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071500,2024-10-18 21:47:30+00:00,2024-10-18
2024-10-19 18:18:42+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071600,2024-10-19 18:18:42+00:00,2024-10-19
2024-10-19 06:02:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072000,2024-10-19 06:02:30+00:00,2024-10-19
2024-10-19 10:32:35+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072200,2024-10-19 10:32:35+00:00,2024-10-19
2024-10-20 12:32:27+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071800,2024-10-20 12:32:27+00:00,2024-10-20
2024-10-20 19:47:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072200,2024-10-20 19:47:30+00:00,2024-10-20
2024-10-20 01:18:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072000,2024-10-20 01:18:30+00:00,2024-10-20
2024-10-20 07:32:25+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072400,2024-10-20 07:32:25+00:00,2024-10-20
2024-10-21 16:47:43+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072300,2024-10-21 16:47:43+00:00,2024-10-21
2024-10-21 09:18:35+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072200,2024-10-21 09:18:35+00:00,2024-10-21
2024-10-21 03:47:33+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072300,2024-10-21 03:47:33+00:00,2024-10-21
2024-10-22 00:47:34+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071900,2024-10-22 00:47:34+00:00,2024-10-22
2024-10-22 11:39:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071900,2024-10-22 11:39:32+00:00,2024-10-22
2024-10-22 11:47:33+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072500,2024-10-22 11:47:33+00:00,2024-10-22
2024-10-22 20:33:13+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072600,2024-10-22 20:33:13+00:00,2024-10-22
2024-10-23 02:47:34+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072700,2024-10-23 02:47:34+00:00,2024-10-23
2024-10-23 10:03:41+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072900,2024-10-23 10:03:41+00:00,2024-10-23
